chain_id,case_id,target_fact_id,target_fact_type,condition_type,prompt_family,model,init_type,budget_chars,converged,convergence_round,final_round,final_context_chars,final_fact_count,needed_fact_recall_fixed,narrative_fact_recall_fixed,executable_fact_recall_fixed,control_fact_recall_fixed
37a8675_1__37a8675_1.fact0015__needed__general_task_aware__qwen__fact_table_only,37a8675_1,37a8675_1.fact0015,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,qwen,FACT_TABLE_ONLY,1500,False,-1,6,343,4,0.5,,0.3333333333333333,1.0
37a8675_1__37a8675_1.fact0015__needed__general_task_aware__qwen__narrative_heavy,37a8675_1,37a8675_1.fact0015,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,qwen,NARRATIVE_HEAVY,1500,True,5,6,548,3,0.375,,0.5,0.0
37a8675_1__37a8675_1.fact0015__needed__general_task_aware__qwen__raw_full,37a8675_1,37a8675_1.fact0015,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,qwen,RAW_FULL,1500,True,-1,6,475,4,0.25,,0.3333333333333333,0.0
37a8675_1__37a8675_1.fact0015__task_agnostic__general_task_agnostic__minimax__raw_full,37a8675_1,37a8675_1.fact0015,NUMERIC_OR_DATE_LITERAL,task_agnostic,general_task_agnostic,minimax,RAW_FULL,1500,True,5,6,469,2,,,0.3333333333333333,0.0
37a8675_1__37a8675_1.fact0015__task_agnostic__general_task_agnostic__qwen__raw_full,37a8675_1,37a8675_1.fact0015,NUMERIC_OR_DATE_LITERAL,task_agnostic,general_task_agnostic,qwen,RAW_FULL,1500,True,6,6,444,1,,,0.16666666666666666,0.0
37a8675_1__37a8675_1.fact0015__unneeded__general_task_aware__minimax__raw_full,37a8675_1,37a8675_1.fact0015,NUMERIC_OR_DATE_LITERAL,unneeded,general_task_aware,minimax,RAW_FULL,1500,True,6,6,600,2,,,0.3333333333333333,0.0
37a8675_1__37a8675_1.fact0015__unneeded__general_task_aware__qwen__raw_full,37a8675_1,37a8675_1.fact0015,NUMERIC_OR_DATE_LITERAL,unneeded,general_task_aware,qwen,RAW_FULL,1500,True,4,6,560,2,,,0.3333333333333333,0.0
37a8675_2__37a8675_2.fact0015__needed__general_task_aware__minimax__detail_heavy,37a8675_2,37a8675_2.fact0015,EXACT_IDENTIFIER,needed,general_task_aware,minimax,DETAIL_HEAVY,1500,False,-1,6,930,4,0.5,,0.5,0.5
37a8675_2__37a8675_2.fact0015__needed__general_task_aware__minimax__fact_table_only,37a8675_2,37a8675_2.fact0015,EXACT_IDENTIFIER,needed,general_task_aware,minimax,FACT_TABLE_ONLY,1500,True,2,6,511,8,1.0,,1.0,1.0
37a8675_2__37a8675_2.fact0015__needed__general_task_aware__minimax__narrative_heavy,37a8675_2,37a8675_2.fact0015,EXACT_IDENTIFIER,needed,general_task_aware,minimax,NARRATIVE_HEAVY,1500,True,3,6,895,7,0.875,,1.0,0.5
37a8675_2__37a8675_2.fact0015__needed__general_task_aware__minimax__raw_full,37a8675_2,37a8675_2.fact0015,EXACT_IDENTIFIER,needed,general_task_aware,minimax,RAW_FULL,1500,True,-1,6,705,12,0.75,,0.8333333333333334,0.5
37a8675_2__37a8675_2.fact0015__needed__general_task_aware__qwen__detail_heavy,37a8675_2,37a8675_2.fact0015,EXACT_IDENTIFIER,needed,general_task_aware,qwen,DETAIL_HEAVY,1500,True,5,6,535,6,0.75,,0.8333333333333334,0.5
37a8675_2__37a8675_2.fact0015__needed__general_task_aware__qwen__fact_table_only,37a8675_2,37a8675_2.fact0015,EXACT_IDENTIFIER,needed,general_task_aware,qwen,FACT_TABLE_ONLY,1500,False,-1,6,443,7,0.875,,1.0,0.5
37a8675_2__37a8675_2.fact0015__needed__general_task_aware__qwen__narrative_heavy,37a8675_2,37a8675_2.fact0015,EXACT_IDENTIFIER,needed,general_task_aware,qwen,NARRATIVE_HEAVY,1500,True,4,6,431,2,0.25,,0.16666666666666666,0.5
37a8675_2__37a8675_2.fact0015__needed__general_task_aware__qwen__raw_full,37a8675_2,37a8675_2.fact0015,EXACT_IDENTIFIER,needed,general_task_aware,qwen,RAW_FULL,1500,True,-1,6,584,6,0.375,,0.3333333333333333,0.5
37a8675_2__37a8675_2.fact0015__task_agnostic__general_task_agnostic__minimax__raw_full,37a8675_2,37a8675_2.fact0015,EXACT_IDENTIFIER,task_agnostic,general_task_agnostic,minimax,RAW_FULL,1500,True,5,6,337,3,,,0.3333333333333333,0.5
37a8675_2__37a8675_2.fact0015__task_agnostic__general_task_agnostic__qwen__raw_full,37a8675_2,37a8675_2.fact0015,EXACT_IDENTIFIER,task_agnostic,general_task_agnostic,qwen,RAW_FULL,1500,True,6,6,393,1,,,0.0,0.5
37a8675_2__37a8675_2.fact0015__unneeded__general_task_aware__minimax__raw_full,37a8675_2,37a8675_2.fact0015,EXACT_IDENTIFIER,unneeded,general_task_aware,minimax,RAW_FULL,1500,True,4,6,916,4,,,0.5,0.5
37a8675_2__37a8675_2.fact0015__unneeded__general_task_aware__qwen__raw_full,37a8675_2,37a8675_2.fact0015,EXACT_IDENTIFIER,unneeded,general_task_aware,qwen,RAW_FULL,1500,True,4,6,547,2,,,0.16666666666666666,0.5
383cbac_1__383cbac_1.fact0006__needed__general_task_aware__minimax__detail_heavy,383cbac_1,383cbac_1.fact0006,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,minimax,DETAIL_HEAVY,1500,True,6,6,644,3,0.42857142857142855,,0.5,0.0
383cbac_1__383cbac_1.fact0006__needed__general_task_aware__minimax__fact_table_only,383cbac_1,383cbac_1.fact0006,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,minimax,FACT_TABLE_ONLY,1500,True,4,6,661,6,0.8571428571428571,,0.8333333333333334,1.0
383cbac_1__383cbac_1.fact0006__needed__general_task_aware__minimax__narrative_heavy,383cbac_1,383cbac_1.fact0006,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,minimax,NARRATIVE_HEAVY,1500,True,6,6,629,3,0.42857142857142855,,0.5,0.0
383cbac_1__383cbac_1.fact0006__needed__general_task_aware__minimax__raw_full,383cbac_1,383cbac_1.fact0006,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,minimax,RAW_FULL,1500,True,-1,6,1226,7,0.5,,0.5833333333333334,0.0
383cbac_1__383cbac_1.fact0006__needed__general_task_aware__qwen__detail_heavy,383cbac_1,383cbac_1.fact0006,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,qwen,DETAIL_HEAVY,1500,True,5,6,537,4,0.5714285714285714,,0.5,1.0
383cbac_1__383cbac_1.fact0006__needed__general_task_aware__qwen__fact_table_only,383cbac_1,383cbac_1.fact0006,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,qwen,FACT_TABLE_ONLY,1500,True,3,6,442,6,0.8571428571428571,,0.8333333333333334,1.0
383cbac_1__383cbac_1.fact0006__needed__general_task_aware__qwen__narrative_heavy,383cbac_1,383cbac_1.fact0006,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,qwen,NARRATIVE_HEAVY,1500,True,5,6,574,3,0.42857142857142855,,0.5,0.0
383cbac_1__383cbac_1.fact0006__needed__general_task_aware__qwen__raw_full,383cbac_1,383cbac_1.fact0006,NUMERIC_OR_DATE_LITERAL,needed,general_task_aware,qwen,RAW_FULL,1500,True,-1,6,684,6,0.42857142857142855,,0.5,0.0
383cbac_1__383cbac_1.fact0006__task_agnostic__general_task_agnostic__minimax__raw_full,383cbac_1,383cbac_1.fact0006,NUMERIC_OR_DATE_LITERAL,task_agnostic,general_task_agnostic,minimax,RAW_FULL,1500,True,4,6,109,3,,,0.5,0.0
383cbac_1__383cbac_1.fact0006__task_agnostic__general_task_agnostic__qwen__raw_full,383cbac_1,383cbac_1.fact0006,NUMERIC_OR_DATE_LITERAL,task_agnostic,general_task_agnostic,qwen,RAW_FULL,1500,True,3,6,371,1,,,0.16666666666666666,0.0
383cbac_1__383cbac_1.fact0006__unneeded__general_task_aware__minimax__raw_full,383cbac_1,383cbac_1.fact0006,NUMERIC_OR_DATE_LITERAL,unneeded,general_task_aware,minimax,RAW_FULL,1500,False,-1,6,473,3,,,0.5,0.0
383cbac_1__383cbac_1.fact0006__unneeded__general_task_aware__qwen__raw_full,383cbac_1,383cbac_1.fact0006,NUMERIC_OR_DATE_LITERAL,unneeded,general_task_aware,qwen,RAW_FULL,1500,True,4,6,700,4,,,0.6666666666666666,0.0
383cbac_2__383cbac_2.fact0010__needed__general_task_aware__minimax__detail_heavy,383cbac_2,383cbac_2.fact0010,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,minimax,DETAIL_HEAVY,1500,True,2,6,939,9,1.0,,1.0,1.0
383cbac_2__383cbac_2.fact0010__needed__general_task_aware__minimax__fact_table_only,383cbac_2,383cbac_2.fact0010,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,minimax,FACT_TABLE_ONLY,1500,True,3,6,638,9,1.0,,1.0,1.0
383cbac_2__383cbac_2.fact0010__needed__general_task_aware__minimax__narrative_heavy,383cbac_2,383cbac_2.fact0010,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,minimax,NARRATIVE_HEAVY,1500,False,-1,6,584,3,0.3333333333333333,,0.3333333333333333,0.5
383cbac_2__383cbac_2.fact0010__needed__general_task_aware__minimax__raw_full,383cbac_2,383cbac_2.fact0010,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,minimax,RAW_FULL,1500,True,-1,6,874,10,0.5555555555555556,,0.5,0.5
383cbac_2__383cbac_2.fact0010__needed__general_task_aware__qwen__detail_heavy,383cbac_2,383cbac_2.fact0010,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,qwen,DETAIL_HEAVY,1500,True,6,6,452,9,1.0,,1.0,1.0
383cbac_2__383cbac_2.fact0010__needed__general_task_aware__qwen__fact_table_only,383cbac_2,383cbac_2.fact0010,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,qwen,FACT_TABLE_ONLY,1500,True,3,6,421,7,0.7777777777777778,,0.8333333333333334,0.5
383cbac_2__383cbac_2.fact0010__needed__general_task_aware__qwen__narrative_heavy,383cbac_2,383cbac_2.fact0010,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,qwen,NARRATIVE_HEAVY,1500,True,4,6,576,3,0.3333333333333333,,0.3333333333333333,0.0
383cbac_2__383cbac_2.fact0010__needed__general_task_aware__qwen__raw_full,383cbac_2,383cbac_2.fact0010,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,qwen,RAW_FULL,1500,True,-1,6,577,6,0.3333333333333333,,0.5,0.0
383cbac_2__383cbac_2.fact0010__task_agnostic__general_task_agnostic__minimax__raw_full,383cbac_2,383cbac_2.fact0010,AUTH_OR_ACCESS_TOKEN,task_agnostic,general_task_agnostic,minimax,RAW_FULL,1500,True,6,6,198,3,,,0.3333333333333333,0.0
383cbac_2__383cbac_2.fact0010__task_agnostic__general_task_agnostic__qwen__raw_full,383cbac_2,383cbac_2.fact0010,AUTH_OR_ACCESS_TOKEN,task_agnostic,general_task_agnostic,qwen,RAW_FULL,1500,True,4,6,587,4,,,0.5,0.0
383cbac_2__383cbac_2.fact0010__unneeded__general_task_aware__minimax__raw_full,383cbac_2,383cbac_2.fact0010,AUTH_OR_ACCESS_TOKEN,unneeded,general_task_aware,minimax,RAW_FULL,1500,True,5,6,407,1,,,0.16666666666666666,0.0
383cbac_2__383cbac_2.fact0010__unneeded__general_task_aware__qwen__raw_full,383cbac_2,383cbac_2.fact0010,AUTH_OR_ACCESS_TOKEN,unneeded,general_task_aware,qwen,RAW_FULL,1500,True,4,6,479,2,,,0.3333333333333333,0.0
396c5a2_1__396c5a2_1.fact0006__needed__general_task_aware__minimax__detail_heavy,396c5a2_1,396c5a2_1.fact0006,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,minimax,DETAIL_HEAVY,1500,True,4,6,688,9,1.0,,1.0,1.0
396c5a2_1__396c5a2_1.fact0006__needed__general_task_aware__minimax__fact_table_only,396c5a2_1,396c5a2_1.fact0006,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,minimax,FACT_TABLE_ONLY,1500,True,4,6,452,8,0.8888888888888888,,0.8333333333333334,1.0
396c5a2_1__396c5a2_1.fact0006__needed__general_task_aware__minimax__narrative_heavy,396c5a2_1,396c5a2_1.fact0006,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,minimax,NARRATIVE_HEAVY,1500,True,5,6,725,6,0.6666666666666666,,0.8333333333333334,0.0
396c5a2_1__396c5a2_1.fact0006__needed__general_task_aware__minimax__raw_full,396c5a2_1,396c5a2_1.fact0006,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,minimax,RAW_FULL,1500,True,-1,6,719,10,0.5555555555555556,,0.6666666666666666,0.0
396c5a2_1__396c5a2_1.fact0006__needed__general_task_aware__qwen__detail_heavy,396c5a2_1,396c5a2_1.fact0006,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,qwen,DETAIL_HEAVY,1500,True,4,6,489,8,0.8888888888888888,,0.8333333333333334,1.0
396c5a2_1__396c5a2_1.fact0006__needed__general_task_aware__qwen__fact_table_only,396c5a2_1,396c5a2_1.fact0006,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,qwen,FACT_TABLE_ONLY,1500,True,3,6,529,8,0.8888888888888888,,0.8333333333333334,1.0
396c5a2_1__396c5a2_1.fact0006__needed__general_task_aware__qwen__narrative_heavy,396c5a2_1,396c5a2_1.fact0006,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,qwen,NARRATIVE_HEAVY,1500,True,4,6,553,6,0.6666666666666666,,0.6666666666666666,0.5
396c5a2_1__396c5a2_1.fact0006__needed__general_task_aware__qwen__raw_full,396c5a2_1,396c5a2_1.fact0006,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,qwen,RAW_FULL,1500,True,-1,6,755,14,0.7777777777777778,,0.8333333333333334,0.5
396c5a2_1__396c5a2_1.fact0006__task_agnostic__general_task_agnostic__minimax__raw_full,396c5a2_1,396c5a2_1.fact0006,AUTH_OR_ACCESS_TOKEN,task_agnostic,general_task_agnostic,minimax,RAW_FULL,1500,True,3,6,508,5,,,0.6666666666666666,0.0
396c5a2_1__396c5a2_1.fact0006__task_agnostic__general_task_agnostic__qwen__raw_full,396c5a2_1,396c5a2_1.fact0006,AUTH_OR_ACCESS_TOKEN,task_agnostic,general_task_agnostic,qwen,RAW_FULL,1500,True,5,6,584,6,,,0.8333333333333334,0.0
396c5a2_1__396c5a2_1.fact0006__unneeded__general_task_aware__minimax__raw_full,396c5a2_1,396c5a2_1.fact0006,AUTH_OR_ACCESS_TOKEN,unneeded,general_task_aware,minimax,RAW_FULL,1500,True,4,6,674,5,,,0.6666666666666666,0.0
396c5a2_1__396c5a2_1.fact0006__unneeded__general_task_aware__qwen__raw_full,396c5a2_1,396c5a2_1.fact0006,AUTH_OR_ACCESS_TOKEN,unneeded,general_task_aware,qwen,RAW_FULL,1500,True,4,6,651,7,,,1.0,0.0
396c5a2_2__396c5a2_2.fact0000__needed__general_task_aware__minimax__detail_heavy,396c5a2_2,396c5a2_2.fact0000,EXACT_IDENTIFIER,needed,general_task_aware,minimax,DETAIL_HEAVY,1500,False,-1,6,551,6,0.75,,0.8333333333333334,0.0
396c5a2_2__396c5a2_2.fact0000__needed__general_task_aware__minimax__fact_table_only,396c5a2_2,396c5a2_2.fact0000,EXACT_IDENTIFIER,needed,general_task_aware,minimax,FACT_TABLE_ONLY,1500,True,3,6,663,8,1.0,,1.0,1.0
396c5a2_2__396c5a2_2.fact0000__needed__general_task_aware__minimax__narrative_heavy,396c5a2_2,396c5a2_2.fact0000,EXACT_IDENTIFIER,needed,general_task_aware,minimax,NARRATIVE_HEAVY,1500,True,5,6,652,5,0.625,,0.6666666666666666,0.0
396c5a2_2__396c5a2_2.fact0000__needed__general_task_aware__minimax__raw_full,396c5a2_2,396c5a2_2.fact0000,EXACT_IDENTIFIER,needed,general_task_aware,minimax,RAW_FULL,1500,True,-1,6,560,11,0.6875,,0.6666666666666666,0.5
396c5a2_2__396c5a2_2.fact0000__needed__general_task_aware__qwen__detail_heavy,396c5a2_2,396c5a2_2.fact0000,EXACT_IDENTIFIER,needed,general_task_aware,qwen,DETAIL_HEAVY,1500,True,5,6,508,7,0.875,,0.8333333333333334,1.0
396c5a2_2__396c5a2_2.fact0000__needed__general_task_aware__qwen__fact_table_only,396c5a2_2,396c5a2_2.fact0000,EXACT_IDENTIFIER,needed,general_task_aware,qwen,FACT_TABLE_ONLY,1500,True,5,6,563,7,0.875,,0.8333333333333334,1.0
396c5a2_2__396c5a2_2.fact0000__needed__general_task_aware__qwen__narrative_heavy,396c5a2_2,396c5a2_2.fact0000,EXACT_IDENTIFIER,needed,general_task_aware,qwen,NARRATIVE_HEAVY,1500,True,5,6,668,5,0.625,,0.6666666666666666,1.0
396c5a2_2__396c5a2_2.fact0000__needed__general_task_aware__qwen__raw_full,396c5a2_2,396c5a2_2.fact0000,EXACT_IDENTIFIER,needed,general_task_aware,qwen,RAW_FULL,1500,True,-1,6,670,13,0.8125,,1.0,0.0
396c5a2_2__396c5a2_2.fact0000__task_agnostic__general_task_agnostic__minimax__raw_full,396c5a2_2,396c5a2_2.fact0000,EXACT_IDENTIFIER,task_agnostic,general_task_agnostic,minimax,RAW_FULL,1500,True,4,6,209,1,,,0.0,0.0
396c5a2_2__396c5a2_2.fact0000__task_agnostic__general_task_agnostic__qwen__raw_full,396c5a2_2,396c5a2_2.fact0000,EXACT_IDENTIFIER,task_agnostic,general_task_agnostic,qwen,RAW_FULL,1500,True,4,6,453,5,,,0.6666666666666666,0.0
396c5a2_2__396c5a2_2.fact0000__unneeded__general_task_aware__minimax__raw_full,396c5a2_2,396c5a2_2.fact0000,EXACT_IDENTIFIER,unneeded,general_task_aware,minimax,RAW_FULL,1500,True,6,6,495,3,,,0.16666666666666666,1.0
396c5a2_2__396c5a2_2.fact0000__unneeded__general_task_aware__qwen__raw_full,396c5a2_2,396c5a2_2.fact0000,EXACT_IDENTIFIER,unneeded,general_task_aware,qwen,RAW_FULL,1500,True,6,6,371,1,,,0.16666666666666666,0.0
3ab5b8b_1__3ab5b8b_1.fact0009__needed__general_task_aware__minimax__detail_heavy,3ab5b8b_1,3ab5b8b_1.fact0009,RUNTIME_VARIABLE,needed,general_task_aware,minimax,DETAIL_HEAVY,1500,False,-1,6,243,0,0.0,,0.0,
3ab5b8b_1__3ab5b8b_1.fact0009__needed__general_task_aware__minimax__fact_table_only,3ab5b8b_1,3ab5b8b_1.fact0009,RUNTIME_VARIABLE,needed,general_task_aware,minimax,FACT_TABLE_ONLY,1500,True,3,6,471,6,1.0,,1.0,
3ab5b8b_1__3ab5b8b_1.fact0009__needed__general_task_aware__minimax__narrative_heavy,3ab5b8b_1,3ab5b8b_1.fact0009,RUNTIME_VARIABLE,needed,general_task_aware,minimax,NARRATIVE_HEAVY,1500,False,-1,6,621,4,0.6666666666666666,,0.6666666666666666,
3ab5b8b_1__3ab5b8b_1.fact0009__needed__general_task_aware__minimax__raw_full,3ab5b8b_1,3ab5b8b_1.fact0009,RUNTIME_VARIABLE,needed,general_task_aware,minimax,RAW_FULL,1500,True,-1,6,400,6,0.5,,0.5,
3ab5b8b_1__3ab5b8b_1.fact0009__needed__general_task_aware__qwen__detail_heavy,3ab5b8b_1,3ab5b8b_1.fact0009,RUNTIME_VARIABLE,needed,general_task_aware,qwen,DETAIL_HEAVY,1500,False,-1,6,516,5,0.8333333333333334,,0.8333333333333334,
3ab5b8b_1__3ab5b8b_1.fact0009__needed__general_task_aware__qwen__fact_table_only,3ab5b8b_1,3ab5b8b_1.fact0009,RUNTIME_VARIABLE,needed,general_task_aware,qwen,FACT_TABLE_ONLY,1500,True,4,6,474,5,0.8333333333333334,,0.8333333333333334,
3ab5b8b_1__3ab5b8b_1.fact0009__needed__general_task_aware__qwen__narrative_heavy,3ab5b8b_1,3ab5b8b_1.fact0009,RUNTIME_VARIABLE,needed,general_task_aware,qwen,NARRATIVE_HEAVY,1500,True,5,6,595,0,0.0,,0.0,
3ab5b8b_1__3ab5b8b_1.fact0009__needed__general_task_aware__qwen__raw_full,3ab5b8b_1,3ab5b8b_1.fact0009,RUNTIME_VARIABLE,needed,general_task_aware,qwen,RAW_FULL,1500,True,-1,6,819,9,0.75,,0.75,
3ab5b8b_1__3ab5b8b_1.fact0009__task_agnostic__general_task_agnostic__minimax__raw_full,3ab5b8b_1,3ab5b8b_1.fact0009,RUNTIME_VARIABLE,task_agnostic,general_task_agnostic,minimax,RAW_FULL,1500,False,-1,6,251,3,,,0.5,
3ab5b8b_1__3ab5b8b_1.fact0009__task_agnostic__general_task_agnostic__qwen__raw_full,3ab5b8b_1,3ab5b8b_1.fact0009,RUNTIME_VARIABLE,task_agnostic,general_task_agnostic,qwen,RAW_FULL,1500,True,6,6,264,1,,,0.16666666666666666,
3ab5b8b_1__3ab5b8b_1.fact0009__unneeded__general_task_aware__minimax__raw_full,3ab5b8b_1,3ab5b8b_1.fact0009,RUNTIME_VARIABLE,unneeded,general_task_aware,minimax,RAW_FULL,1500,True,4,6,514,1,,,0.16666666666666666,
3ab5b8b_1__3ab5b8b_1.fact0009__unneeded__general_task_aware__qwen__raw_full,3ab5b8b_1,3ab5b8b_1.fact0009,RUNTIME_VARIABLE,unneeded,general_task_aware,qwen,RAW_FULL,1500,True,4,6,562,0,,,0.0,
4ec8de5_1__4ec8de5_1.fact0011__needed__general_task_aware__minimax__detail_heavy,4ec8de5_1,4ec8de5_1.fact0011,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,minimax,DETAIL_HEAVY,1500,True,3,6,779,6,0.8571428571428571,1.0,0.8333333333333334,
4ec8de5_1__4ec8de5_1.fact0011__needed__general_task_aware__minimax__fact_table_only,4ec8de5_1,4ec8de5_1.fact0011,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,minimax,FACT_TABLE_ONLY,1500,False,-1,6,677,5,0.7142857142857143,0.0,0.8333333333333334,
4ec8de5_1__4ec8de5_1.fact0011__needed__general_task_aware__minimax__narrative_heavy,4ec8de5_1,4ec8de5_1.fact0011,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,minimax,NARRATIVE_HEAVY,1500,False,-1,6,540,1,0.14285714285714285,0.0,0.16666666666666666,
4ec8de5_1__4ec8de5_1.fact0011__needed__general_task_aware__minimax__raw_full,4ec8de5_1,4ec8de5_1.fact0011,AUTH_OR_ACCESS_TOKEN,needed,general_task_aware,minimax,RAW_FULL,1500,True,-1,6,0,11,0.7857142857142857,0.5,0.8333333333333334,
