model_a,prompt_a,init_a,cond_a,model_b,prompt_b,init_b,cond_b,n_types,kendall_tau,kendall_p,spearman_rho,spearman_p
minimax,general_task_aware,FACT_TABLE_ONLY,needed,minimax,general_task_aware,NARRATIVE_HEAVY,needed,10,0.15555555555555553,0.6006536596119929,0.19999999999999998,0.5795840000000002
minimax,general_task_aware,FACT_TABLE_ONLY,needed,minimax,general_task_aware,RAW_FULL,needed,10,0.19999999999999998,0.4843127204585538,0.2606060606060606,0.46708905438634024
minimax,general_task_aware,FACT_TABLE_ONLY,needed,minimax,general_task_aware,RAW_FULL,unneeded,10,0.15555555555555553,0.6006536596119929,0.32121212121212117,0.36546831043867045
minimax,general_task_aware,FACT_TABLE_ONLY,needed,qwen,general_task_agnostic,RAW_FULL,task_agnostic,10,0.1111111111111111,0.7274895282186948,0.16363636363636364,0.6514773427962428
minimax,general_task_aware,FACT_TABLE_ONLY,needed,qwen,general_task_aware,DETAIL_HEAVY,needed,10,0.3333333333333333,0.21637345679012346,0.4545454545454545,0.18690481034933196
minimax,general_task_aware,FACT_TABLE_ONLY,needed,qwen,general_task_aware,FACT_TABLE_ONLY,needed,10,0.37777777777777777,0.1557418430335097,0.4787878787878787,0.16152292801745594
minimax,general_task_aware,FACT_TABLE_ONLY,needed,qwen,general_task_aware,NARRATIVE_HEAVY,needed,10,0.15555555555555553,0.6006536596119929,0.22424242424242422,0.5334005612725947
minimax,general_task_aware,FACT_TABLE_ONLY,needed,qwen,general_task_aware,RAW_FULL,needed,10,0.022222222222222223,1.0,0.04242424242424241,0.9073638178128159
minimax,general_task_aware,FACT_TABLE_ONLY,needed,qwen,general_task_aware,RAW_FULL,unneeded,10,-0.19999999999999998,0.4843127204585538,-0.18787878787878787,0.6032176100292089
minimax,general_task_aware,NARRATIVE_HEAVY,needed,minimax,general_task_aware,RAW_FULL,needed,10,0.6,0.016666115520282188,0.7575757575757575,0.011143446799694208
minimax,general_task_aware,NARRATIVE_HEAVY,needed,minimax,general_task_aware,RAW_FULL,unneeded,10,0.4666666666666666,0.07255015432098766,0.6727272727272726,0.03304122254543772
minimax,general_task_aware,NARRATIVE_HEAVY,needed,qwen,general_task_agnostic,RAW_FULL,task_agnostic,10,0.3333333333333333,0.21637345679012346,0.4666666666666666,0.17393859716506654
minimax,general_task_aware,NARRATIVE_HEAVY,needed,qwen,general_task_aware,DETAIL_HEAVY,needed,10,0.1111111111111111,0.7274895282186948,0.07878787878787878,0.8287173946974606
minimax,general_task_aware,NARRATIVE_HEAVY,needed,qwen,general_task_aware,FACT_TABLE_ONLY,needed,10,0.06666666666666667,0.8618005952380953,0.06666666666666665,0.8548130882487427
minimax,general_task_aware,NARRATIVE_HEAVY,needed,qwen,general_task_aware,NARRATIVE_HEAVY,needed,10,0.4666666666666666,0.07255015432098766,0.6606060606060605,0.03758837757140934
minimax,general_task_aware,NARRATIVE_HEAVY,needed,qwen,general_task_aware,RAW_FULL,needed,10,0.6888888888888888,0.00468694885361552,0.8545454545454544,0.0016368033159867156
minimax,general_task_aware,NARRATIVE_HEAVY,needed,qwen,general_task_aware,RAW_FULL,unneeded,10,0.5555555555555555,0.02860945767195767,0.7333333333333332,0.015800596250571577
minimax,general_task_aware,RAW_FULL,needed,minimax,general_task_aware,RAW_FULL,unneeded,11,0.6363636363636364,0.005707170915504249,0.8454545454545455,0.0010451821458586875
minimax,general_task_aware,RAW_FULL,needed,qwen,general_task_agnostic,RAW_FULL,task_agnostic,11,0.5636363636363636,0.016540504248837583,0.7545454545454545,0.007282041008429154
minimax,general_task_aware,RAW_FULL,needed,qwen,general_task_aware,DETAIL_HEAVY,needed,10,0.3333333333333333,0.21637345679012346,0.41818181818181815,0.22911284098281892
minimax,general_task_aware,RAW_FULL,needed,qwen,general_task_aware,FACT_TABLE_ONLY,needed,10,0.28888888888888886,0.2912483465608466,0.3696969696969697,0.29305007529282234
minimax,general_task_aware,RAW_FULL,needed,qwen,general_task_aware,NARRATIVE_HEAVY,needed,10,0.7777777777777777,0.0009463183421516755,0.9272727272727272,0.00011203450639397586
minimax,general_task_aware,RAW_FULL,needed,qwen,general_task_aware,RAW_FULL,needed,11,0.2727272727272727,0.2829668209876543,0.28181818181818186,0.40114489796047825
minimax,general_task_aware,RAW_FULL,needed,qwen,general_task_aware,RAW_FULL,unneeded,11,0.3090909090909091,0.21834651074234407,0.39090909090909093,0.23454006709519437
minimax,general_task_aware,RAW_FULL,unneeded,qwen,general_task_agnostic,RAW_FULL,task_agnostic,11,0.41818181818181815,0.08656124739458072,0.5727272727272729,0.06554305260101852
minimax,general_task_aware,RAW_FULL,unneeded,qwen,general_task_aware,DETAIL_HEAVY,needed,10,0.28888888888888886,0.2912483465608466,0.4787878787878787,0.16152292801745594
minimax,general_task_aware,RAW_FULL,unneeded,qwen,general_task_aware,FACT_TABLE_ONLY,needed,10,0.3333333333333333,0.21637345679012346,0.4787878787878787,0.16152292801745594
minimax,general_task_aware,RAW_FULL,unneeded,qwen,general_task_aware,NARRATIVE_HEAVY,needed,10,0.6444444444444444,0.009148478835978836,0.7575757575757575,0.011143446799694208
minimax,general_task_aware,RAW_FULL,unneeded,qwen,general_task_aware,RAW_FULL,needed,11,0.34545454545454546,0.16457331248997917,0.46363636363636374,0.15090149929248592
minimax,general_task_aware,RAW_FULL,unneeded,qwen,general_task_aware,RAW_FULL,unneeded,11,0.38181818181818183,0.12097096961680295,0.4000000000000001,0.22286835013352
qwen,general_task_agnostic,RAW_FULL,task_agnostic,qwen,general_task_aware,DETAIL_HEAVY,needed,10,0.3333333333333333,0.21637345679012346,0.41818181818181815,0.22911284098281892
qwen,general_task_agnostic,RAW_FULL,task_agnostic,qwen,general_task_aware,FACT_TABLE_ONLY,needed,10,0.19999999999999998,0.4843127204585538,0.3696969696969697,0.29305007529282234
qwen,general_task_agnostic,RAW_FULL,task_agnostic,qwen,general_task_aware,NARRATIVE_HEAVY,needed,10,0.7777777777777777,0.0009463183421516755,0.9151515151515152,0.00020447240614883226
qwen,general_task_agnostic,RAW_FULL,task_agnostic,qwen,general_task_aware,RAW_FULL,needed,11,0.2727272727272727,0.2829668209876543,0.3454545454545455,0.2980892209030385
qwen,general_task_agnostic,RAW_FULL,task_agnostic,qwen,general_task_aware,RAW_FULL,unneeded,11,0.45454545454545453,0.06017015392015392,0.48181818181818187,0.13343383825682875
qwen,general_task_aware,DETAIL_HEAVY,needed,qwen,general_task_aware,FACT_TABLE_ONLY,needed,10,0.6,0.016666115520282188,0.7575757575757575,0.011143446799694208
qwen,general_task_aware,DETAIL_HEAVY,needed,qwen,general_task_aware,NARRATIVE_HEAVY,needed,10,0.28888888888888886,0.2912483465608466,0.406060606060606,0.24428229408662647
qwen,general_task_aware,DETAIL_HEAVY,needed,qwen,general_task_aware,RAW_FULL,needed,10,-0.022222222222222223,1.0,0.01818181818181818,0.9602404181286242
qwen,general_task_aware,DETAIL_HEAVY,needed,qwen,general_task_aware,RAW_FULL,unneeded,10,-0.06666666666666667,0.8618005952380953,-0.10303030303030303,0.7769984634438898
qwen,general_task_aware,FACT_TABLE_ONLY,needed,qwen,general_task_aware,NARRATIVE_HEAVY,needed,10,0.3333333333333333,0.21637345679012346,0.4787878787878787,0.16152292801745594
qwen,general_task_aware,FACT_TABLE_ONLY,needed,qwen,general_task_aware,RAW_FULL,needed,10,0.022222222222222223,1.0,0.07878787878787878,0.8287173946974606
qwen,general_task_aware,FACT_TABLE_ONLY,needed,qwen,general_task_aware,RAW_FULL,unneeded,10,-0.1111111111111111,0.7274895282186948,-0.09090909090909088,0.8027717312071619
qwen,general_task_aware,NARRATIVE_HEAVY,needed,qwen,general_task_aware,RAW_FULL,needed,10,0.5111111111111111,0.04662257495590829,0.5151515151515151,0.1275528697032343
qwen,general_task_aware,NARRATIVE_HEAVY,needed,qwen,general_task_aware,RAW_FULL,unneeded,10,0.4666666666666666,0.07255015432098766,0.5030303030303029,0.13833369839449194
qwen,general_task_aware,RAW_FULL,needed,qwen,general_task_aware,RAW_FULL,unneeded,11,0.6727272727272727,0.0031063111271444604,0.8272727272727273,0.0016769738964523809
